models,Source->Target,AUC,P,R,F1
SM3,MC1->PC2,0.589049554,,0,
SM3,MC2->PC2,0.546845124,0.030172414,0.4375,0.056451613
SM3,MW1->PC2,0.423518164,0.076923077,0.0625,0.068965517
SM3,PC1->PC2,0.66168738,0.071428571,0.25,0.111111111
SM3,PC3->PC2,0.5,,0,
SM3,PC4->PC2,0.511751115,0.011918951,0.625,0.023391813
SM3,PC5->PC2,0.795450924,0.041916168,0.4375,0.076502732
SM3,CM1->PC3,0.610134155,0.333333333,0.335714286,0.334519573
SM3,JM1->PC3,0.365358956,0.100622407,0.692857143,0.175724638
SM3,KC1->PC3,0.639205946,0.117647059,0.2,0.148148148
SM3,KC3->PC3,0.427081218,0.152588556,0.4,0.220907298
SM3,MC1->PC3,0.493448151,,0,
SM3,MC2->PC3,0.405319072,0.179012346,0.207142857,0.19205298
SM3,MW1->PC3,0.525126904,0.288888889,0.092857143,0.140540541
SM3,PC1->PC3,0.544329224,0.307692308,0.028571429,0.052287582
SM3,PC2->PC3,0.5,,0,
SM3,PC4->PC3,0.492037708,0.110880829,0.764285714,0.193665158
SM3,PC5->PC3,0.63882161,0.327272727,0.257142857,0.288
SM3,CM1->PC4,0.599177318,0.118602762,0.820224719,0.207239177
SM3,JM1->PC4,0.593083124,0.179723502,0.219101124,0.197468354
SM3,KC1->PC4,0.391086694,0.127118644,0.842696629,0.220913108
SM3,KC3->PC4,0.188048109,0.016163793,0.084269663,0.027124774
SM3,MC1->PC4,0.484880693,0.12732475,1,0.225888325
SM3,MC2->PC4,0.618479051,0.108555658,0.662921348,0.186561265
SM3,MW1->PC4,0.547502048,0.125635439,0.971910112,0.222508039
SM3,PC1->PC4,0.503970774,0.127644055,0.983146067,0.225952227
SM3,PC2->PC4,0.5,0.127233738,1,0.225745086
SM3,PC3->PC4,0.5,0.127233738,1,0.225745086
SM3,PC5->PC4,0.457906579,0.121611154,0.882022472,0.213750851
SM3,CM1->PC5,0.676196428,0.339259259,0.45526839,0.388794567
SM3,JM1->PC5,0.150030897,0.011353489,0.35387674,0.022001112
SM3,KC1->PC5,0.706546935,0.039266494,0.391650099,0.071376812
SM3,KC3->PC5,0.438358755,0.107298815,0.34194831,0.16334283
SM3,MC1->PC5,0.686605425,0.571428571,0.015904573,0.030947776
SM3,MC2->PC5,0.896209481,0.23283428,0.896620278,0.369672131
SM3,MW1->PC5,0.409907569,0.392156863,0.039761431,0.072202166
SM3,PC1->PC5,0.695942782,0.443478261,0.4055666,0.423676012
SM3,PC2->PC5,0.5,,0,
SM3,PC3->PC5,0.5,,0,
SM3,PC4->PC5,0.620090826,0.026056382,0.825049702,0.050517346
SM4,JM1->CM1,0.281062756,0.094915254,0.666666667,0.166172107
SM4,KC1->CM1,0.754493851,0.294117647,0.714285714,0.416666667
SM4,KC3->CM1,0.367983286,0.2,0.166666667,0.181818182
SM4,MC1->CM1,0.434326711,,0,
SM4,MC2->CM1,0.734902239,0.222222222,0.476190476,0.303030303
SM4,MW1->CM1,0.652633239,0.219512195,0.214285714,0.21686747
SM4,PC1->CM1,0.56713182,0.391304348,0.214285714,0.276923077
SM4,PC2->CM1,0.45880637,,0,
SM4,PC3->CM1,0.77893409,0.272727273,0.214285714,0.24
SM4,PC4->CM1,0.519118575,0.1179941,0.952380952,0.209973753
SM4,PC5->CM1,0.693156733,0.196428571,0.261904762,0.224489796
SM4,CM1->JM1,0.386398453,0.178859203,0.959067652,0.301492271
SM4,KC1->JM1,0.393558936,0.165056649,0.786810688,0.272870662
SM4,KC3->JM1,0.420657219,0.174608656,0.862421831,0.290418302
SM4,MC1->JM1,0.529730829,0.182094559,0.987492894,0.307488051
SM4,MC2->JM1,0.405438612,0.161351512,0.773735077,0.267019816
SM4,MW1->JM1,0.405787269,0.170855355,0.900511654,0.287216682
SM4,PC1->JM1,0.406911978,0.178174434,0.947697555,0.299955016
SM4,PC2->JM1,0.436416029,0.182749608,0.993746447,0.308724832
SM4,PC3->JM1,0.424211245,0.176273748,0.928368391,0.296289576
