models,Source->Target,AUC,P,R,F1
SM4,log4j-1.2->camel-1.6,0.441171034,0.095238095,0.010638298,0.019138756
SM4,lucene-2.4->camel-1.6,0.365480983,0.126582278,0.265957447,0.171526587
SM4,poi-3.0->camel-1.6,0.380671705,0.127962085,0.287234043,0.17704918
SM4,prop-6->camel-1.6,0.408191626,0.193920335,0.984042553,0.323992995
SM4,tomcat->camel-1.6,0.587218297,0.339622642,0.095744681,0.149377593
SM4,xalan-2.7->camel-1.6,0.490761658,,0,
SM4,ant-1.7->ivy-2.0,0.178325321,0.059649123,0.425,0.104615385
SM4,camel-1.6->ivy-2.0,0.421033654,0.105263158,0.8,0.186046512
SM4,jedit-4.0->ivy-2.0,0.248878205,0.070110701,0.475,0.122186495
SM4,log4j-1.2->ivy-2.0,0.661418269,0.117647059,1,0.210526316
SM4,lucene-2.4->ivy-2.0,0.755929487,0.145228216,0.875,0.24911032
SM4,poi-3.0->ivy-2.0,0.726201923,0.17370892,0.925,0.292490119
SM4,prop-6->ivy-2.0,0.769230769,0.272727273,0.075,0.117647059
SM4,tomcat->ivy-2.0,0.258854167,0.088957055,0.725,0.158469945
SM4,xalan-2.7->ivy-2.0,0.530448718,0.113636364,1,0.204081633
SM4,ant-1.7->jedit-4.0,0.714112554,0.5,0.426666667,0.460431655
SM4,camel-1.6->jedit-4.0,0.644300144,0.452380952,0.253333333,0.324786325
SM4,ivy-2.0->jedit-4.0,0.304675325,0.222222222,0.826666667,0.350282486
SM4,log4j-1.2->jedit-4.0,0.391948052,0,0,
SM4,lucene-2.4->jedit-4.0,0.275497835,0.134920635,0.226666667,0.169154229
SM4,poi-3.0->jedit-4.0,0.285021645,0.105263158,0.16,0.126984127
SM4,prop-6->jedit-4.0,0.262972583,0.228956229,0.906666667,0.365591398
SM4,tomcat->jedit-4.0,0.674343434,0.52173913,0.16,0.244897959
SM4,xalan-2.7->jedit-4.0,0.478297258,0,0,
SM4,ant-1.7->log4j-1.2,0.554398148,0.916201117,0.867724868,0.891304348
SM4,camel-1.6->log4j-1.2,0.457175926,0.918918919,0.899470899,0.909090909
SM4,ivy-2.0->log4j-1.2,0.58912037,1,0.058201058,0.11
SM4,jedit-4.0->log4j-1.2,0.465608466,0.915662651,0.804232804,0.856338028
SM4,lucene-2.4->log4j-1.2,0.718253968,0.970873786,0.529100529,0.684931507
SM4,poi-3.0->log4j-1.2,0.644345238,0.969072165,0.497354497,0.657342657
SM4,prop-6->log4j-1.2,0.609292328,1,0.005291005,0.010526316
SM4,tomcat->log4j-1.2,0.432705026,0.923469388,0.957671958,0.94025974
SM4,xalan-2.7->log4j-1.2,0.541997354,0.921568627,0.994708995,0.956743003
SM4,ant-1.7->lucene-2.4,0.334382079,0.574257426,0.857142857,0.687747036
SM4,camel-1.6->lucene-2.4,0.42102046,0.568345324,0.778325123,0.656964657
SM4,ivy-2.0->lucene-2.4,0.638182733,1,0.049261084,0.093896714
SM4,jedit-4.0->lucene-2.4,0.345546726,0.558922559,0.81773399,0.664
SM4,log4j-1.2->lucene-2.4,0.545881126,0.605421687,0.990147783,0.751401869
SM4,poi-3.0->lucene-2.4,0.648430477,0.687179487,0.660098522,0.673366834
SM4,prop-6->lucene-2.4,0.635899464,0.875,0.034482759,0.066350711
SM4,tomcat->lucene-2.4,0.364639891,0.591900312,0.935960591,0.72519084
SM4,xalan-2.7->lucene-2.4,0.554313042,0.596439169,0.990147783,0.744444444
SM4,ant-1.7->poi-3.0,0.352357375,0.622166247,0.879003559,0.728613569
SM4,camel-1.6->poi-3.0,0.321235163,0.626237624,0.900355872,0.738686131
SM4,ivy-2.0->poi-3.0,0.666287217,0.65,0.046263345,0.086378738
SM4,jedit-4.0->poi-3.0,0.224409275,0.545977011,0.676156584,0.604133545
SM4,log4j-1.2->poi-3.0,0.591034681,0.637813212,0.996441281,0.777777778
SM4,lucene-2.4->poi-3.0,0.754161049,0.748484848,0.879003559,0.808510638
SM4,prop-6->poi-3.0,0.670221702,0.333333333,0.003558719,0.007042254
SM4,tomcat->poi-3.0,0.360845251,0.615571776,0.900355872,0.731213873
SM4,xalan-2.7->poi-3.0,0.531851639,0.635746606,1,0.777316736
SM4,ant-1.7->prop-6,0.279920416,0.086805556,0.757575758,0.15576324
SM4,camel-1.6->prop-6,0.447734925,0.101328904,0.924242424,0.182634731
SM4,ivy-2.0->prop-6,0.668324661,0.161290323,0.075757576,0.103092784
SM4,jedit-4.0->prop-6,0.308131823,0.083475298,0.742424242,0.15007657
SM4,log4j-1.2->prop-6,0.571332007,0.102167183,1,0.185393258
SM4,lucene-2.4->prop-6,0.669421488,0.134751773,0.863636364,0.233128834
SM4,poi-3.0->prop-6,0.640444853,0.125340599,0.696969697,0.212471132
SM4,tomcat->prop-6,0.337593103,0.089141005,0.833333333,0.161054173
SM4,xalan-2.7->prop-6,0.505777472,0.1,1,0.181818182
